Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Crossover
GBIME,2024-07-14,193.0,204.7,192.1,200.0,5.32 %,"368,225.00",182.76099264599253,181.94667745685544,83.37950138504155,True
API,2024-07-14,179.6,190.7,177.0,188.0,6.76 %,"351,899.00",172.68610275273412,172.6430629983528,75.95307917888564,True
HIDCL,2024-07-11,173.4,173.4,170.0,172.0,1.18 %,"96,957.00",165.71822165369363,165.68462269497576,73.38129496402877,True
GHL,2024-07-11,156.0,159.6,153.0,158.8,3.12 %,"306,490.00",150.1198400584582,150.1138144555519,69.40298507462688,True
HBL,2024-07-11,194.8,201.7,191.0,201.6,5.55 %,"95,935.00",184.98049006618962,184.42596473795058,84.57300275482095,True
NIMB,2024-07-11,161.8,172.0,161.8,171.5,3.94 %,"194,804.00",159.69085488623912,159.12748141704176,76.69902912621362,True
LSL,2024-07-10,165.2,165.2,161.0,165.0,1.85 %,"72,499.00",158.34353446316487,157.97192267096582,67.58620689655172,True
LIFEINSU,2024-07-10,10330.15,10445.46,10322.47,10409.03,0.77 %,"254,178,188.70",10134.808252478333,10132.417788319353,68.16939408901739,True
SRLI,2024-07-10,450.0,459.9,448.0,455.0,1.79 %,"21,095.00",442.0453594317705,441.4584889111393,68.9335394126739,True
NIFRA,2024-07-10,212.1,212.1,207.1,208.6,0.29 %,"176,406.00",199.0007045717481,198.93342943078733,72.01017811704833,True
GBBL,2024-07-09,371.0,387.0,371.0,384.0,3.17 %,"126,338.00",365.9842257125273,365.1809751868375,72.89377289377288,True
KBL,2024-07-09,145.8,145.8,140.0,143.5,0.35 %,"130,497.00",140.21911075393618,140.12175399029906,68.4563758389262,True
JALPA,2024-07-09,1330.0,1460.0,1315.1,1440.0,8.27 %,"10,456.00",1346.8108963681714,1342.2622756837025,58.971291866028714,True
MBL,2024-07-08,186.6,187.4,181.0,183.0,-0.54 %,"47,877.00",174.16011360857397,174.0735856647879,68.9655172413793,True
NBL,2024-07-08,220.5,220.5,217.0,219.0,0.60 %,"48,185.00",212.69431810972785,212.39633571698158,57.56676557863499,True
PRVU,2024-07-04,146.0,150.0,146.0,147.0,-0.68 %,"97,805.00",143.67965443107224,143.66267825391924,50.0,True
LBBL,2024-07-04,396.0,412.9,395.0,403.0,3.33 %,"177,984.00",382.95396181746145,381.9227591852727,61.43292682926829,True
PCBL,2024-07-02,199.7,211.1,199.7,202.0,3.17 %,"106,105.00",198.13767446635987,197.9981057346212,48.310810810810814,True
OHL,2024-07-01,747.0,763.0,747.0,763.0,2.10 %,"6,527.00",758.4602743453472,758.1827261607831,50.59665871121719,True
SSHL,2024-06-16,172.3,184.6,170.0,182.8,8.17 %,"409,555.00",166.00002120630336,165.021784160446,65.86345381526107,True
RADHI,2024-06-13,254.0,270.0,250.9,265.0,4.33 %,"191,220.00",239.9928902089839,238.62468840970797,68.51851851851852,True
NGPL,2024-06-12,313.0,316.0,307.8,313.5,0.48 %,"91,509.00",306.3025199466587,305.9631580877264,53.48258706467663,True
TSHL,2024-06-10,523.0,550.0,516.0,535.0,3.88 %,"29,045.00",513.3710870484798,512.5902549905655,59.14205344585091,True
DDBL,2024-06-05,748.0,748.0,725.0,739.2,0.71 %,"10,520.00",730.019118645336,729.9610908101017,56.06267029972754,True
