Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
SCBD,2025-05-04,"1,110.00","1,110.00","1,110.00",1110.0,,25.0,"1,150.00","1,000.00",1094.8844036798541,1094.1490986360484,58.508619603120145,31.133333333333333,0.6034096998896075,0.20945242187981422,True
HPPL,2025-05-04,592.5,660,577,645.85,,422606.0,711,244,603.5537506641347,603.4913403200762,59.48992601734217,573473.0,1.4279137831125126,0.4428809362251286,True
HURJA,2025-04-30,242.7,264.9,242.7,260.89,,622571.0,326.6,183.6,244.85286786379896,243.86551747671464,64.85957033831579,138321.4,0.6397668626474058,0.23867566120595143,True
SHEL,2025-04-30,266.6,272.9,261,269.86,,787854.0,334.4,143.1,256.4393820029819,255.7793702177798,63.46154235329592,225251.26666666666,0.5775011263186798,0.2029220788452392,True
NBLD85,2025-04-22,"1,030.00","1,050.00","1,030.00",1050.0,,340.0,"1,068.00",927,1028.4574401485684,1028.1228782683468,63.02699663878188,139.13333333333333,0.03583983756193447,-0.02079871386454215,True
NIBD84,2025-04-21,"1,036.10","1,056.90","1,036.10",1056.9,,103.0,"1,071.00",943,1036.1935316358474,1035.7381190568717,69.05369207138129,77.1,1.3025441595946632,0.4559364629450101,True
MBLD87,2025-04-20,"1,046.00","1,054.10","1,046.00",1054.1,,13.0,"1,080.00",931,1036.2132323359965,1036.0244429304178,61.221106489268486,36.46666666666667,0.5361815862739604,0.15132012882859272,True
SBI,2025-04-17,430,433,420,426.06,,37407.0,549,268.6,419.1085016409383,418.93362392348155,66.70588080418104,44042.166666666664,0.6030140523790124,0.20353454774189003,True
ANLB,2025-04-10,"5,035.40","5,220.00","5,035.40",5200.7,,3059.0,"6,735.00","1,910.00",5094.123772089801,5089.900769860996,55.80798123187713,1412.1333333333334,4.595687268927213,1.5825458199407876,True
KBL,2025-04-04,212,218.8,210,213.24,,686230.0,272.9,129.6,208.18384469855724,208.11075678050676,69.87897144571448,225599.96666666667,0.3274508100510218,0.1050188403931486,True
MFLD85,2025-03-27,"1,094.40","1,115.80","1,094.40",1111.0,,881.0,"1,115.80",955,1066.9277534612627,1064.218727187935,66.55844155844156,186.7,1.6998292420303642,0.6779624791083279,True
BFCPO,2025-03-13,350,350,350,350.0,,54000.0,350,350,269.84470039998996,267.8112908320263,65.74803149606299,39108.22222222222,3.1254026650320044,0.9002051098885318,True
KSBBLD87,2025-03-08,"1,065.00","1,065.00","1,065.00",1065.0,,25.0,"1,102.60",906,1062.6598016156536,1062.618661734659,48.95607490844728,71.4,0.10450338879227275,0.02549580778299969,True
FOWAD,2025-03-04,"1,300.00","1,317.00","1,294.00",1294.1,,11499.0,"1,739.00",995,1273.39963530433,1272.6906701003481,65.4280840490253,3519.6,1.3142014382481648,0.4451057074454184,True
NGPL,2025-03-04,300,300,289.7,292.0,,177210.0,571,250,288.5629799951058,288.4138234689973,57.57575757575758,168764.26666666666,0.885519822927256,0.31136554864356186,True
SHL,2025-03-03,517,521,507,511.0,,74206.0,636.5,416.5,502.3398286133243,501.836008624762,50.73997081150971,50265.53333333333,0.34322463763502353,0.11323401778763582,True
JBLB,2025-03-03,"1,460.00","1,460.00","1,433.00",1440.0,,10880.0,"1,920.00","1,209.00",1411.4057391559495,1410.2425876768439,60.91954022988505,5246.166666666667,2.702852884779941,0.9566075563160666,True
CHCL,2025-03-01,528.4,540,515,540.0,,73973.0,697,426.3,527.4415118268439,526.7368701818721,57.462695631577986,75569.53333333334,0.957435336888284,0.33415709949238137,True
CBBL,2025-02-28,886,904.7,880,896.0,,24055.0,"1,155.00",800,875.6840425370015,875.1215083788769,68.57142857142857,12465.233333333334,0.6844540733158965,0.21157693193733848,True
