Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
TSHL,2024-12-12,880,897.8,872.2,875.0,,7275.0,"1,231.00",392,911.9234570231042,913.0689591142966,21.698113207547166,False,True,Sell
VLBS,2024-12-09,863.1,885,862,879.0,,3172.0,"1,174.00",564.9,908.5655004413829,910.0902656887564,9.756143772186135,False,True,Sell
NMBMF,2024-12-09,722.1,736,692.9,700.0,,1880.0,918,480,730.4886629651786,730.7698389533717,21.437248257784034,False,True,Sell
BBC,2024-11-26,"4,250.00","4,590.00","4,250.00",4500.0,,1789.0,"5,314.00","3,410.40",4293.587217195415,4293.528132340838,55.77590900648873,True,False,Buy
NFS,2024-11-21,"1,454.30","1,605.00","1,401.60",1479.0,,173118.0,"2,614.90",270,1438.8004363774116,1437.6547721307913,61.66733929201236,True,False,Buy
NRN,2024-11-15,938.5,976,935,935.0,,102827.0,"1,132.00",280.6,919.2991520210535,918.4729845549764,63.02604573108829,True,False,Buy
USLB,2024-11-12,"1,630.00","1,700.00","1,578.00",1579.0,,3536.0,"2,363.30",591.1,1498.759449062735,1495.4790376386313,65.15732356021726,True,False,Buy
MNBBL,2024-11-11,408,416,403.2,404.0,,57972.0,482,332.4,398.05107835935144,397.99368179179703,69.91152593456809,True,False,Buy
BHL,2024-11-07,312.7,337.2,312.7,337.2,,5247.0,520,195,443.49120482525734,444.8641907629843,29.9084047304068,False,True,Sell
RHGCL,2024-10-31,403.2,413,400,406.9,,10635.0,492.6,184.5,401.52677252145656,401.3112026417296,45.89177694889008,True,False,Buy
NHDL,2024-10-30,597,615,588.2,599.9,,7809.0,718,312,583.9857861819581,583.1630988255598,49.94167123658403,True,False,Buy
SFCL,2024-09-23,580.1,591,531,531.0,,112293.0,812,246.2,630.4574743037706,635.1868946817231,21.21062300329085,False,True,Sell
IHL,2024-09-22,536,546.7,500,515.0,,15640.0,665,212,554.3948004816701,555.7831362938562,13.513513513513516,False,True,Sell
BFC,2024-09-19,580,580,540,544.0,,67950.0,745,284,607.4656193346996,609.4007544435237,18.490310036561908,False,True,Sell
SGIC,2024-09-19,650,668.1,647,650.0,,24043.0,795,417,688.1806682066898,690.4132229950455,19.178067465976753,False,True,Sell
CFCL,2024-09-16,620,620,583.6,586.0,,70573.0,820,298,649.3803820923482,650.602418742293,17.032967032967022,False,True,Sell
KBLD90,2024-09-02,"1,055.00","1,055.00","1,055.00",1055.0,,25.0,"1,055.00","1,000.00",1039.7099826864205,1039.1415179451774,63.51351351351351,True,False,Buy
USHEC,2024-09-01,502,524.2,485,485.0,,6854.0,661.6,208.2,529.44654386562,530.5143825424576,27.709794966734776,False,True,Sell
MHCL,2024-08-30,406,421,402.6,413.1,,21787.0,637,158.3,443.1937485626517,444.61863378305696,4.26639525818473,False,True,Sell
NFSPO,2024-08-25,163,163,163,163.0,,140963.0,163,163,267.95238095238096,274.45098039215685,0.0,False,True,Sell
NIFRAUR85/86,2024-08-23,934.9,972,934.9,972.0,,190.0,985,857,910.9933529455767,909.1916260175889,69.09721682591845,True,False,Buy
NABILD87,2024-08-10,"1,000.00","1,019.00","1,000.00",1019.0,,135.0,"1,060.00",950,1003.113306351254,1002.5960249237613,49.58263789965784,True,False,Buy
SBLD2082,2024-08-09,"1,046.00","1,046.00","1,046.00",1046.0,,25.0,"1,259.50",996,1067.2601070746882,1067.8849356830679,17.695466360123362,False,True,Sell
RBBD83,2024-08-07,"1,003.00","1,010.00","1,003.00",1010.0,,1204.0,"1,010.00",946.5,980.492134510894,979.5744626703204,66.07142857142857,True,False,Buy
SBID89,2024-07-28,983,"1,002.60",983,1002.6,,212.0,"1,030.00",838,991.800026852975,991.5672938953116,55.34166168320705,True,False,Buy
SBD89,2024-06-26,"1,046.00","1,046.00","1,046.00",1046.0,,25.0,"1,050.50","1,000.00",1049.6190476190477,1049.843137254902,0.0,False,True,Sell
PBD84,2024-06-26,"1,040.10","1,045.00","1,040.10",1040.1,,75.0,"1,050.00","1,000.00",1040.914283389137,1040.9647049249388,0.0,False,True,Sell
NLIC,2024-06-25,580,591.6,580,585.2,,28590.0,819.8,566,601.5463966155812,602.2331990703753,21.238938053097343,False,True,Sell
HLIPO,2024-06-24,175,175,175,175.0,,64509.0,255,175,237.74432929058315,239.79931985615744,17.64705882352942,False,True,Sell
UNHPL,2024-06-13,233.1,238.9,232.5,233.5,,46529.0,280.5,156,227.46352494196034,227.16399183230482,63.11476024944364,True,False,Buy
PHCL,2024-06-09,300,306,299,300.1,,22531.0,381,216,298.9350504554759,298.89004804760515,65.72327647592853,True,False,Buy
MAKAR,2024-06-03,417,434,399.9,405.0,,77496.0,454,213.1,378.5275601340179,377.0986157630203,66.79426619804892,True,False,Buy
CIZBD86,2024-05-06,"1,050.60","1,055.00","1,050.60",1055.0,,50.0,"1,055.00",950,1010.7281072537911,1008.0129555731374,68.17721945354815,True,False,Buy
