Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
JSLBB,2024-01-10,889.0,917.0,868.5,917.0,4.56 %,3238.0,876.8253465822202,874.5493999470416,56.30983329809692,1105.7333333333333,0.8258719414354573,0.34046049229032177,True
NLIC,2023-12-19,675.0,690.0,668.0,689.0,2.99 %,114598.0,667.4405786195907,667.113584607245,62.34095401190884,29257.1,1.2957652903652843,0.452589677752394,True
RBCL,2023-12-18,14250.0,14400.0,14181.0,14388.0,0.37 %,903.0,13864.292831488658,13839.674563952274,69.90501779559585,174.86666666666667,65.85542662016778,23.684424877159472,True
NABBC,2023-12-18,382.2,415.0,382.2,406.7,4.28 %,10361.0,371.4832603608693,371.2881037167071,63.72294900737283,2450.766666666667,2.0420657268770697,0.6554167076845943,True
GFCL,2023-12-18,438.6,472.0,438.6,469.0,9.07 %,45967.0,423.5243475202255,421.49527854927663,65.23545448781621,6222.766666666666,2.9329970284865112,1.0718821941175407,True
KPCL,2023-12-17,330.0,350.0,320.0,348.0,4.50 %,5500.0,319.7352755976335,319.17902626799395,61.88016678741289,2305.0,1.774220931267621,0.5925913633438086,True
MSLB,2023-12-17,800.0,857.0,786.6,840.0,3.83 %,1023.0,767.8539340017261,766.1892997148225,67.5918652893753,329.26666666666665,5.171846255266769,1.7669144225270883,True
ALICL,2023-12-17,667.4,685.1,663.0,680.9,0.72 %,27447.0,647.7165677308021,646.6072219992352,63.78182705965909,14821.333333333334,4.0752542231585265,1.4318148192925038,True
BPCL,2023-12-14,307.5,317.0,307.5,315.0,0.57 %,7633.0,304.5317724901893,304.0806743372447,60.439574443539726,5621.8,1.217965259989694,0.43391599861258784,True
SMHL,2023-12-14,368.0,400.0,361.1,388.0,3.47 %,6077.0,349.9955748847263,347.70917744551673,64.22018675537042,5448.366666666667,2.760697823003875,1.0037382392852237,True
BFC,2023-12-14,323.0,325.5,318.0,325.0,0.62 %,8787.0,304.0348399992275,303.5814354668267,64.66754519150888,4670.633333333333,2.075970565923444,0.7115406124570882,True
KSBBL,2023-12-14,315.0,329.9,314.0,329.5,3.00 %,49847.0,304.9498666008676,304.7713393458381,67.41130650566,18538.033333333333,1.8582458883655364,0.6226897163710305,True
SPDL,2023-12-14,197.0,206.0,195.2,198.4,-0.80 %,81201.0,179.82909585561137,179.7808222287493,61.612892587530034,19083.533333333333,1.6037120189418546,0.5251592717399944,True
FINANCE,2023-12-14,1770.19,1782.79,1754.2,1779.46,0.36 %,104947980.0,1682.8730973528648,1678.5743175466168,64.68695937334928,50668968.88333333,9.505123349173527,3.350869352287327,True
RFPL,2023-12-14,234.0,246.0,230.1,241.0,1.26 %,12452.0,219.94635268804072,218.74586854074636,64.15094688829618,6242.8,1.863178813522819,0.6725374202853345,True
UNHPL,2023-12-14,182.0,188.0,180.3,186.4,2.98 %,28476.0,171.79978419281534,171.00194154644473,64.29906216862027,9803.7,1.3261051087278246,0.4786858685463642,True
CFCL,2023-12-13,360.0,365.0,343.0,343.0,-2.83 %,31473.0,324.4055330496488,324.05292791880413,62.02531156584168,7391.366666666667,1.955356565715033,0.6484491473152503,True
IHL,2023-12-13,252.0,278.0,252.0,270.0,5.02 %,33590.0,243.08909304247763,241.56576376844706,62.88244956428902,7332.633333333333,1.4250292016112724,0.5140706575279126,True
PRVU,2023-12-13,168.3,170.0,164.8,166.0,0.61 %,111895.0,159.86115510331777,159.62216200594727,65.56291323806857,60990.86666666667,0.6208310063446334,0.21502739293619583,True
HOTELS,2023-12-13,5532.32,5569.82,5365.69,5417.4,-1.30 %,121517990.0,5156.323096457894,5146.1235014609465,66.08139922014541,60912479.06666667,22.976049753761618,7.802311143284351,True
SGHC,2023-12-13,256.0,275.0,256.0,260.2,1.64 %,33744.0,232.81677490341357,231.18327602307778,69.56522106243378,5978.0,1.917560866659778,0.6864984841971875,True
SAPDBL,2023-12-12,245.0,247.7,231.0,244.0,-0.41 %,13758.0,231.94510641185641,231.39536541351623,65.84507382784,5464.733333333334,1.1823278712088552,0.4069235475689538,True
SINDU,2023-12-12,266.2,280.0,259.0,267.0,2.30 %,7605.0,251.89992478988063,251.35946785569962,68.0327868852459,2351.4,1.002023471576365,0.34606127835551775,True
GBBL,2023-12-12,386.1,392.0,386.1,390.0,1.01 %,40654.0,374.77489460078436,373.9221514714089,62.26635863868746,15106.366666666667,1.0628981100283226,0.3672336285510255,True
SICL,2023-12-12,778.0,789.0,766.0,780.0,0.65 %,11802.0,748.3713812161632,748.2236366211199,69.93620026536172,4387.833333333333,2.2603621472039093,0.7200145120691104,True
GVL,2023-12-12,365.0,377.0,365.0,371.0,1.64 %,31938.0,356.5721950572028,355.68294610614754,54.55365494110987,11458.2,1.0098060109408606,0.35523131564036703,True
VLBS,2023-12-11,607.5,650.0,578.8,650.0,7.00 %,9547.0,601.7863675510088,600.4315526038276,58.42030409291706,1901.4333333333334,0.8812699658004703,0.2784669072138968,True
CHCL,2023-12-11,536.0,536.0,505.1,515.0,-2.09 %,102458.0,483.5882085953896,482.80427475829873,68.73963452807338,13686.3,1.7362347212788336,0.560230119965729,True
CORBL,2023-12-07,333.5,340.0,327.0,340.0,3.98 %,4595.0,323.00650746039696,322.5666023319022,65.23605122107992,3085.366666666667,0.732875563587379,0.25072436171286655,True
MMKJL,2023-11-28,269.0,284.0,267.7,284.0,3.65 %,25969.0,261.0649811741792,259.9758038985672,64.663455719074,28536.428571428572,0.7844236436900018,0.2775125241221417,True
MSHL,2023-11-23,336.2,354.0,325.1,353.0,2.92 %,7041.0,329.2795543205243,327.9867478848091,66.08187517177296,11130.894736842105,1.1498858161630552,0.41323409367945485,True
HATHY,2023-11-02,319.0,346.0,319.0,335.0,4.04 %,78748.0,315.0973954422104,314.17354603199624,56.53775094578287,83740.63636363637,0.4876166064047993,0.16642179538383745,True
BANKING,2023-07-18,1270.9,1294.21,1271.9,1283.82,1.08 %,613688400.0,1230.0058216578568,1229.2029777222765,52.19841735331741,387559225.06666666,2.3657942780000667,0.7406283667515254,True
