Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
RSY,9.93,8.63,10.7,15.06,-7.2
GHL,226.8,197.1,290.0,15.07,-21.79
PPCL,327.7,284.1,462.0,15.35,-29.07
PPL,304.0,263.2,425.0,15.5,-28.47
HEIP,338.7,293.1,382.7,15.56,-11.5
KDBY,10.03,8.67,12.54,15.69,-20.02
NGPL,396.9,343.0,502.0,15.71,-20.94
CHL,259.0,223.4,332.5,15.94,-22.11
LEC,209.1,180.0,276.0,16.17,-24.24
KSBBL,470.0,404.1,555.3,16.31,-15.36
SIGS2,10.36,8.9,11.5,16.4,-9.91
ALBSL,1086.5,930.0,1334.0,16.83,-18.55
SMHL,518.0,443.0,978.0,16.93,-47.03
TRH,803.0,681.1,992.0,17.9,-19.05
RSDCP,366.0,310.0,366.0,18.06,0.0
NIB,251.0,211.0,1224.0,18.96,-79.49
SHIVM,624.0,524.0,730.0,19.08,-14.52
H8020,11.96,10.0,12.56,19.6,-4.78
PHCL,300.0,249.7,471.9,20.14,-36.43
NBL,271.7,225.4,302.9,20.54,-10.3
MBL,248.0,205.0,284.0,20.98,-12.68
KBL,212.5,175.5,256.0,21.08,-16.99
TAMOR,480.0,396.4,525.0,21.09,-8.57
MPFL,599.0,491.0,744.0,22.0,-19.49
PSF,12.1,9.91,13.0,22.1,-6.92
BHL,201.0,164.0,264.4,22.56,-23.98
LSLPO,123.0,100.0,123.0,23.0,0.0
GBBLPO,238.0,193.4,242.0,23.06,-1.65
HDHPC,199.9,162.0,274.0,23.4,-27.04
CIZBD90,1250.0,1010.0,1315.0,23.76,-4.94
SANIMA,365.5,295.0,390.6,23.9,-6.43
SBLPO,210.0,169.0,223.0,24.26,-5.83
RLI,387.0,310.0,818.0,24.84,-52.69
API,327.5,258.8,370.0,26.55,-11.49
SLI,396.8,311.5,701.7,27.38,-43.45
SAHAS,681.9,535.3,716.6,27.39,-4.84
SBL,408.5,320.5,424.7,27.46,-3.81
SIGS3,10.85,8.5,11.58,27.65,-6.3
SSHL,193.1,151.0,251.0,27.88,-23.07
PRSF,12.6,9.85,13.61,27.92,-7.42
UHEWA,667.0,521.0,692.6,28.02,-3.7
TPC,346.1,270.1,450.0,28.14,-23.09
