Symbol,Date,Open,High,Low,Close,Volume
PBLD86,2025-01-23,1102.0,1102.0,1102.0,1102.0,321784.0
PCBL,2025-01-23,248.0,249.0,241.2,242.0,12193409.5
PFL,2025-01-23,398.9,405.0,375.0,376.0,80520610.39
PHCL,2025-01-23,596.3,596.3,566.0,572.0,42167351.3
PMHPL,2025-01-23,302.0,308.0,292.0,294.5,12402725.7
PMLI,2025-01-23,591.0,600.0,585.0,586.1,26358800.4
PPCL,2025-01-23,304.5,304.5,297.0,299.9,17279302.5
PPL,2025-01-23,621.9,635.0,601.1,623.0,36545868.4
PRIN,2025-01-23,998.0,1007.0,986.0,986.8,8467869.1
PROFL,2025-01-23,569.0,569.0,548.0,555.0,26990760.9
PRSF,2025-01-23,9.8,9.88,9.8,9.88,3932.0
PRVU,2025-01-23,226.7,227.4,221.0,221.4,34092639.5
PSF,2025-01-23,10.29,10.9,9.89,10.08,2660503.0
RADHI,2025-01-23,348.0,364.0,348.0,357.0,27505898.7
RAWA,2025-01-23,800.2,821.9,800.2,809.4,11157878.5
RBCL,2025-01-23,14400.0,14598.9,14400.0,14427.0,4990916.5
RBCLPO,2025-01-23,11310.0,11310.0,11275.0,11275.0,982285.0
RFPL,2025-01-23,1118.2,1185.0,1045.8,1100.1,75371734.2
RHGCL,2025-01-23,634.4,634.4,600.0,614.7,22721550.3
RHPL,2025-01-23,450.0,456.0,445.0,449.9,39294143.3
RIDI,2025-01-23,226.3,235.4,226.3,231.0,18371921.47
RLFL,2025-01-23,530.0,534.5,504.0,514.9,37796428.2
RMF1,2025-01-23,8.89,9.08,8.89,8.96,117706.0
RMF2,2025-01-23,8.96,9.14,8.96,9.14,22295.0
RNLI,2025-01-23,527.0,534.0,521.2,526.0,26100041.2
RSDC,2025-01-23,668.1,668.1,653.0,659.0,2341286.4
RURU,2025-01-23,749.0,749.0,723.0,726.8,11838142.4
SADBL,2025-01-23,405.0,406.0,393.1,396.0,10825074.4
SAGF,2025-01-23,9.4,9.4,9.13,9.17,7386.0
SAHAS,2025-01-23,491.6,492.9,479.7,487.0,165747989.6
SALICO,2025-01-23,742.0,750.0,730.3,738.0,5200202.5
SAMAJ,2025-01-23,3480.0,3480.0,3346.0,3400.0,1937247.6
SANIMA,2025-01-23,303.9,303.9,293.5,299.0,18272735.2
SAPDBL,2025-01-23,1390.0,1501.5,1275.0,1500.0,308929065.0
SARBTM,2025-01-23,802.2,802.2,775.0,781.0,40110246.8
SBCF,2025-01-23,9.2,9.2,9.1,9.1,158284.0
SBI,2025-01-23,429.9,429.9,418.0,422.7,14422900.4
SBID83,2025-01-23,1075.0,1105.0,1075.0,1116.0,17648.3
SBID89,2025-01-23,1099.5,1099.5,1080.0,1080.1,1037100.0
SBL,2025-01-23,285.0,290.0,278.0,282.0,18827581.3
SBLD2082,2025-01-23,1050.1,1087.3,1046.0,1087.3,245396.0
SBLD83,2025-01-23,1088.0,1088.0,1088.0,1088.6,30465.8
SBLD84,2025-01-23,1008.5,1008.5,1008.5,1008.5,25212.5
SBLD89,2025-01-23,1199.0,1199.0,1199.0,1199.0,119900.0
SCB,2025-01-23,694.0,694.0,675.0,675.0,9778903.3
SCBD,2025-01-23,1081.0,1081.0,1065.0,1086.3,27711.8
SDBD87,2025-01-23,1049.0,1058.0,1048.1,1048.1,529183.8
SFCL,2025-01-23,570.0,580.0,550.0,553.9,52367622.9
SFEF,2025-01-23,9.07,9.07,9.05,9.07,3626.0
SGHC,2025-01-23,555.0,570.0,555.0,569.0,24614780.4
SGIC,2025-01-23,692.0,698.9,685.0,688.0,25126231.4
SHEL,2025-01-23,252.0,255.6,250.4,251.2,51834281.3
SHINE,2025-01-23,418.0,418.0,407.0,410.0,9697306.4
SHIVM,2025-01-23,556.1,560.0,550.0,550.1,58900789.5
SHL,2025-01-23,520.0,520.0,500.0,513.9,22104666.3
SHLB,2025-01-23,2512.0,2619.0,2512.0,2550.0,10878524.5
SHPC,2025-01-23,477.0,491.9,476.0,484.0,55139727.5
SICL,2025-01-23,810.0,811.0,804.2,808.0,7006209.4
SIFC,2025-01-23,544.9,544.9,521.0,527.0,10649513.6
SIGS2,2025-01-23,9.62,9.62,9.6,9.6,41354.38
SIGS3,2025-01-23,9.6,9.7,9.51,9.56,8668.0
SIKLES,2025-01-23,920.0,1006.5,915.3,1006.5,141259761.2
SINDU,2025-01-23,1072.5,1119.0,1072.5,1096.0,171693427.9
SJCL,2025-01-23,360.0,362.8,356.0,358.0,8003017.7
SJLIC,2025-01-23,458.0,466.1,455.0,457.5,13799480.2
SKBBL,2025-01-23,833.3,833.3,810.0,813.0,6683389.6
SLBBL,2025-01-23,924.0,925.0,915.0,920.0,2354499.6
SLBSL,2025-01-23,1998.1,2197.9,1806.4,2197.9,73440804.9
SLCF,2025-01-23,9.41,9.42,9.24,9.24,107258.0
SMATA,2025-01-23,845.0,860.0,836.0,838.0,3393289.0
SMB,2025-01-23,2642.0,2906.0,2632.1,2825.0,47227343.2
SMFBS,2025-01-23,1951.0,1993.4,1938.0,1989.0,15712777.3
SMH,2025-01-23,1132.0,1132.0,1080.1,1081.0,1857618.6
SMHL,2025-01-23,1358.3,1358.3,1247.4,1247.4,60418782.1
SMJC,2025-01-23,583.0,583.0,571.0,575.0,27967832.3
SMPDA,2025-01-23,908.9,963.0,901.0,904.0,11453326.4
SNLI,2025-01-23,640.0,658.0,638.7,652.0,36456121.5
SONA,2025-01-23,475.0,483.0,468.6,472.0,27027838.1
SPC,2025-01-23,579.0,580.0,562.1,564.0,38960073.9
SPDL,2025-01-23,338.0,343.9,334.5,336.1,59404282.9
SPHL,2025-01-23,841.0,857.0,836.1,850.0,9368661.2
SPIL,2025-01-23,821.0,844.0,820.0,834.0,9850388.1
SPL,2025-01-23,965.0,975.0,957.0,960.0,7440730.7
SRBLD83,2025-01-23,1089.0,1089.0,1089.0,1089.0,32670.0
SRLI,2025-01-23,433.3,437.0,425.0,425.0,27804410.1
SSHL,2025-01-23,234.0,237.0,228.0,228.0,13106665.4
STC,2025-01-23,5400.0,5400.0,5280.0,5300.0,4643255.7
SWBBL,2025-01-23,886.9,887.4,865.1,880.0,35946083.5
SWMF,2025-01-23,765.7,765.7,747.0,753.0,2982904.0
TAMOR,2025-01-23,602.0,613.0,595.2,600.0,74686509.7
TPC,2025-01-23,570.0,581.4,560.4,569.0,34705125.4
TRH,2025-01-23,1177.7,1180.0,1153.0,1175.0,9373607.0
TSHL,2025-01-23,880.0,880.0,855.0,855.0,3881541.9
TVCL,2025-01-23,606.0,606.0,585.4,591.0,27230007.4
UAIL,2025-01-23,675.0,681.9,658.0,664.0,8897104.2
UHEWA,2025-01-23,852.0,885.0,852.0,869.0,14383643.7
ULBSL,2025-01-23,4068.0,4240.0,4067.0,4132.1,14668216.2
ULHC,2025-01-23,537.0,565.0,537.0,558.0,30956488.1
UMHL,2025-01-23,337.9,348.0,337.9,340.0,27337362.3
UMRH,2025-01-23,659.1,698.0,659.1,694.0,195548619.1
UNHPL,2025-01-23,331.8,333.4,317.1,322.0,54247639.8
UNL,2025-01-23,47490.0,47490.0,46000.0,46000.0,1865704.0
UNLB,2025-01-23,2638.0,2689.0,2614.0,2640.0,11968551.1
UPCL,2025-01-23,289.1,295.0,285.6,287.0,39392373.4
UPPER,2025-01-23,205.0,206.9,201.0,201.7,27682070.0
USHEC,2025-01-23,681.1,703.0,681.1,695.0,14989002.4
USHL,2025-01-23,855.0,855.0,825.2,828.2,3575084.8
USLB,2025-01-23,1530.0,1580.0,1502.0,1509.0,3602697.9
VLBS,2025-01-23,831.4,835.0,815.1,820.1,784792.3
VLUCL,2025-01-23,715.4,774.9,715.4,759.8,98235806.2
WNLB,2025-01-23,2740.0,2835.0,2710.1,2771.0,5885974.6
