Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
NRM,2026-01-05,413.1,440.0,413.1,435.0,85320.0,4.57,470.0,411.7,420.82819785345697,420.76098939875646,63.128501779624365,0.3822222484482659,0.03237865625935683,-0.003909366492359822,True
RBBD2088,2026-01-05,1083.0,1100.0,1077.0,1085.0,125.0,0.18,1100.0,1035.3,1080.3526813921874,1080.1317297477115,66.89183616238597,0.07666667302449544,0.07053627843747563,0.026345949542292146,True
NIL,2026-01-04,618.5,622.9,613.0,619.0,4776.0,0.08,685.0,596.3,614.8757796845741,614.6566856793222,55.03681598008489,0.08874998521059752,0.5797891992599261,0.20441143023579117,True
CREST,2026-01-04,1197.0,1228.0,1181.1,1225.0,15078.0,2.34,1588.0,1181.0,1214.0699176554517,1213.9866369048616,53.98550724637681,0.12374997697770596,0.1011015529022643,0.044117831100857076,True
SWMF,2025-12-31,668.3,684.0,668.3,684.0,1831.0,0.59,754.0,645.0,674.794535599858,674.4895986506805,67.9245283018868,0.23666665951410928,0.22081188187635234,0.064586396802747,True
ULBSL,2025-12-31,3390.0,3500.0,3390.0,3475.9,254.0,0.75,3672.0,3050.0,3451.8929625618025,3450.6740356665114,64.73261155766892,0.12500000496705374,0.5690687028366483,0.21323850585122273,True
BHDC,2025-12-31,475.0,485.0,475.0,485.0,46507.0,1.46,522.0,456.0,477.8851421502469,477.66150182133055,65.16392571219166,0.263333335518837,0.08559863791768976,0.024063849445337838,True
HDL,2025-12-31,1160.0,1165.0,1151.0,1164.0,32838.0,1.22,1292.0,1128.0,1147.3535107735324,1146.4113877889845,61.56811613304087,0.27166666742414236,0.4040354880398354,0.13717951858120614,True
TTL,2025-12-31,750.0,784.0,749.0,777.0,58453.0,3.6,1173.0,720.0,748.0520210979932,747.6939474212882,67.34450267284416,0.65666663646698,0.4104042195986494,0.10349536661055936,True
CKHL,2025-12-31,637.0,668.0,637.0,665.0,10551.0,2.31,804.0,623.4,650.0114444956653,649.8511692773149,63.63636363636363,0.3933333357175191,0.1927650896092473,0.048665228011986986,True
JHAPA,2025-12-29,1248.0,1271.9,1228.8,1263.9,18557.0,1.29,1749.0,1215.0,1244.917934664113,1244.8235641462888,69.3251686891053,0.30600000023841856,-0.01641306717738189,-0.03528717074223096,True
DOLTI,2025-12-29,518.2,521.7,515.0,518.5,3426.0,0.06,565.0,493.0,515.2680567635017,515.0865099038475,58.139534883720934,0.13999999687075615,0.05361135270034083,0.017301980769502734,True
