Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
SAGAR,Sagar Distillery Limited,Manufacturing And Processing,"1,934.00",14.04 Ar,+0.73%,-1.58%,+4.43%,+15.11%,+450.37%,+450.37%,-7.21,-268.38,15.07,64406.52,30392.34,+111.92%,39031.05,20116.19,+94.03%,-26158.1,-15323.92,+70.70%,-7.21,-8.44,-14.65%,128.34,130.12,-1.37%,1486338.15,1375368.72,+8.07%,555162.52,430686.28,+28.90%,726000.0,726000.0,0.00%,205774.14,218682.45,-5.90%,-0.0562,0.5962
SAGF,Sanima Growth Fund,Mutual Fund,10.02,67.39 Cr,0.00%,-1.76%,-0.40%,+4.27%,+24.51%,+25.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHAS,Sahas Urja Limited,Hydro Power,625.00,23.63 Ar,+1.46%,+1.46%,+13.02%,+13.82%,+49.64%,+83.66%,39.57,15.8,3.66,1704918.32,924636.99,+84.39%,1597191.36,860699.77,+85.57%,904828.36,494899.98,+82.83%,39.57,52.37,-24.45%,170.72,196.89,-13.29%,18843694.38,17986815.62,+4.76%,11035252.53,10544465.59,+4.65%,4573800.0,3780000.0,+21.00%,3234641.86,3662350.03,-11.68%,0.2318,1.4132
SAIL,Shreenagar Agritech Industries Limited,Manufacturing And Processing,"1,350.00",22.02 Ar,+1.58%,-0.74%,+1.12%,+68.75%,+306.87%,+306.87%,1.92,703.3,12.2,882405.93,425449.88,+107.41%,118486.43,70207.63,+68.77%,15656.1,9273.97,+68.82%,1.92,2.84,-32.47%,110.63,118.62,-6.73%,2911685.45,2855414.71,+1.97%,1107023.32,1307448.9,-15.33%,1631250.0,1305000.0,+25.00%,173412.13,242965.81,-28.63%,0.0174,0.6134
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance,620.00,16.26 Ar,+0.73%,+0.90%,+6.31%,+5.49%,-10.32%,-38.54%,2.85,217.7,1.51,1597118.19,833719.96,+91.57%,420271.38,-80519.3,-621.95%,37344.99,-267372.22,-113.97%,2.85,-40.78,-106.98%,227.43,229.48,-0.89%,15519963.56,17664280.37,-12.14%,9555184.48,11645766.59,-17.95%,2622638.2,2622638.2,0.00%,102948.09,174304.3,-40.94%,0.0125,1.6019
SAND2085,10% Sanima Bank Limited Debenture,Bond,"1,122.00",2.24 Ar,+0.85%,-0.09%,-2.86%,-2.86%,+2.33%,+7.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANIMA,Sanima Bank,Commercial Banks,357.10,48.50 Ar,+2.17%,+1.59%,+8.21%,+15.57%,+20.94%,+46.53%,20.48,17.43,2.07,8466396.97,4332202.82,+95.43%,3428085.66,1688524.47,+103.02%,1391075.72,454918.15,+205.79%,20.48,13.4,+52.89%,172.39,172.71,-0.19%,270383013.5,266521035.0,+1.45%,246969630.9,243064250.7,+1.61%,13581525.41,13581525.41,0.00%,9831857.17,9875258.91,-0.44%,0.1188,10.5482
SANVI,Sanvi Energy Limited,Hydro Power,822.00,7.23 Ar,+0.31%,-1.56%,+4.04%,+29.45%,+108.15%,+108.15%,17.33,47.44,6.95,110746.43,231084.79,-52.08%,108513.9,211546.86,-48.70%,38123.09,27642.73,+37.91%,17.33,3.14,+451.65%,118.29,113.96,+3.80%,2758646.47,2744269.64,+0.52%,1717716.18,1741462.45,-1.36%,880000.0,880000.0,0.00%,160930.28,122807.19,+31.04%,0.1465,1.6502
SAPDBL,Saptakoshi Development Bank Ltd,Development Bank,905.00,7.55 Ar,+3.12%,+8.77%,+11.87%,+11.60%,-23.31%,+451.83%,6.43,140.77,11.91,262911.09,143466.19,+83.26%,107951.8,65004.56,+66.07%,26820.02,-1215.05,"-2,307.32%",6.43,-0.58,"-1,203.71%",75.96,72.27,+5.11%,8828426.25,8378316.62,+5.37%,8194645.8,7775331.12,+5.39%,834338.43,834338.43,0.00%,-200557.98,-231352.93,-13.31%,0.0846,12.9298
SARBTM,Sarbottam Cement Limited,Manufacturing And Processing,904.00,44.98 Ar,+1.69%,+0.22%,+5.63%,+2.26%,+19.55%,+72.45%,20.61,43.86,4.79,4202371.91,2030252.28,+106.99%,1163801.08,667136.1,+74.45%,538350.04,324280.82,+66.01%,20.61,26.07,-20.95%,188.92,208.11,-9.22%,15643196.1,15371900.83,+1.76%,5773481.86,5017414.23,+15.07%,5224275.0,4975500.0,+5.00%,4645539.24,5378986.6,-13.64%,0.1091,0.585
