"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEL","2024-04-10","229","232.9","223.9","229.1","1.78 %","100,725.00"
"MEL","2024-04-09","220","230","220","225.1","1.44 %","70,642.00"
"MEL","2024-04-07","216.5","221.9","216.5","221.9","0.86 %","29,399.00"
"MEL","2024-04-04","220","224","217.4","220","-1.65 %","32,052.00"
"MEL","2024-04-03","220.5","227","220.5","223.7","-0.53 %","25,490.00"
"MEL","2024-04-02","234","234","222","224.9","-2.22 %","33,116.00"
"MEL","2024-04-01","218","234","218","230","3.46 %","120,687.00"
"MEL","2024-03-31","215","226.5","213.6","222.3","2.40 %","71,994.00"
"MEL","2024-03-28","214.5","226","211.4","217.1","1.35 %","41,098.00"
"MEL","2024-03-27","220","222","214.1","214.2","-2.19 %","18,812.00"
"MEL","2024-03-26","212","221.3","211.9","219","3.30 %","44,473.00"
"MEL","2024-03-25","218","218","211.3","212","-1.49 %","15,746.00"
"MEL","2024-03-21","217","221","215","215.2","-0.88 %","41,291.00"
"MEL","2024-03-20","224","226","217","217.1","-3.08 %","37,803.00"
"MEL","2024-03-19","221","225","220","224","1.36 %","28,914.00"
"MEL","2024-03-18","220","224","218.6","221","-0.05 %","24,890.00"
"MEL","2024-03-17","228","230","221","221.1","-1.95 %","33,531.00"
"MEL","2024-03-14","223.5","231","222","225.5","0.67 %","72,869.00"
"MEL","2024-03-13","228.4","228.4","220.2","224","0.00 %","38,189.00"
"MEL","2024-03-12","226.4","227","220","224","0.90 %","48,956.00"
"MEL","2024-03-10","222.9","226","219.6","222","0.45 %","39,504.00"
"MEL","2024-03-07","217.5","226","217","221","1.61 %","56,997.00"
"MEL","2024-03-06","215","224.9","211.1","217.5","0.97 %","69,286.00"
"MEL","2024-03-05","232.5","232.5","214","215.4","-5.53 %","89,514.00"
"MEL","2024-03-04","213","229.5","213","228","9.09 %","1,482.00"
"MEL","2024-03-03","212.1","212.1","203","209","0.48 %","35,702.00"
"MEL","2024-02-29","213","216","207.1","208","-4.15 %","50,916.00"
"MEL","2024-02-28","225","225","214","217","-1.63 %","34,040.00"
"MEL","2024-02-27","218.5","222.8","216.2","220.6","-0.63 %","55,276.00"
"MEL","2024-02-26","220.3","223","214.1","222","2.78 %","37,241.00"
"MEL","2024-02-25","221","225","215.1","216","-2.26 %","56,718.00"
"MEL","2024-02-22","221","234.4","221","221","-1.87 %","78,756.00"
"MEL","2024-02-21","224.3","232.5","224","225.2","-1.23 %","53,393.00"
