Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
CFCL,527.0,445.1,676.9,18.4,-22.15,https://nepsealpha.com/nepse-chart?symbol=CFCL
AKPL,256.0,216.1,306.5,18.46,-16.48,https://nepsealpha.com/nepse-chart?symbol=AKPL
SHPC,525.1,443.1,684.9,18.51,-23.33,https://nepsealpha.com/nepse-chart?symbol=SHPC
NHPC,212.2,178.6,248.5,18.81,-14.61,https://nepsealpha.com/nepse-chart?symbol=NHPC
BHL,195.0,164.0,376.0,18.9,-48.14,https://nepsealpha.com/nepse-chart?symbol=BHL
SSHL,180.5,151.0,313.8,19.54,-42.48,https://nepsealpha.com/nepse-chart?symbol=SSHL
CHL,269.0,223.4,599.7,20.41,-55.14,https://nepsealpha.com/nepse-chart?symbol=CHL
USHL,710.0,588.0,945.0,20.75,-24.87,https://nepsealpha.com/nepse-chart?symbol=USHL
HURJA,247.8,204.6,295.0,21.11,-16.0,https://nepsealpha.com/nepse-chart?symbol=HURJA
RHGCL,263.1,217.2,708.0,21.13,-62.84,https://nepsealpha.com/nepse-chart?symbol=RHGCL
SINDU,738.5,608.0,1482.0,21.46,-50.17,https://nepsealpha.com/nepse-chart?symbol=SINDU
SHEL,294.0,241.1,347.8,21.94,-15.47,https://nepsealpha.com/nepse-chart?symbol=SHEL
SHIVM,605.0,495.0,709.0,22.22,-14.67,https://nepsealpha.com/nepse-chart?symbol=SHIVM
ULHC,503.2,411.7,603.0,22.22,-16.55,https://nepsealpha.com/nepse-chart?symbol=ULHC
CKHL,674.2,550.0,835.0,22.58,-19.26,https://nepsealpha.com/nepse-chart?symbol=CKHL
LBBL,464.0,376.5,646.3,23.24,-28.21,https://nepsealpha.com/nepse-chart?symbol=LBBL
RFPL,380.0,306.0,860.0,24.18,-55.81,https://nepsealpha.com/nepse-chart?symbol=RFPL
PMHPL,338.0,272.0,468.0,24.26,-27.78,https://nepsealpha.com/nepse-chart?symbol=PMHPL
MPFL,614.0,491.0,740.0,25.05,-17.03,https://nepsealpha.com/nepse-chart?symbol=MPFL
DORDI,267.0,213.1,608.0,25.29,-56.09,https://nepsealpha.com/nepse-chart?symbol=DORDI
SIFC,581.6,459.0,687.4,26.71,-15.39,https://nepsealpha.com/nepse-chart?symbol=SIFC
CHDC,2535.0,1990.0,2997.9,27.39,-15.44,https://nepsealpha.com/nepse-chart?symbol=CHDC
SGHC,377.2,296.0,591.9,27.43,-36.27,https://nepsealpha.com/nepse-chart?symbol=SGHC
PPCL,364.5,284.1,409.9,28.3,-11.08,https://nepsealpha.com/nepse-chart?symbol=PPCL
KKHC,269.1,208.0,475.9,29.38,-43.45,https://nepsealpha.com/nepse-chart?symbol=KKHC
UPCL,364.0,277.5,489.0,31.17,-25.56,https://nepsealpha.com/nepse-chart?symbol=UPCL
SPDL,408.0,308.9,465.0,32.08,-12.26,https://nepsealpha.com/nepse-chart?symbol=SPDL
ANLB,6300.0,4700.0,6800.0,34.04,-7.35,https://nepsealpha.com/nepse-chart?symbol=ANLB
ALBSL,1058.3,771.0,1250.0,37.26,-15.34,https://nepsealpha.com/nepse-chart?symbol=ALBSL
TPC,375.0,270.1,628.9,38.84,-40.37,https://nepsealpha.com/nepse-chart?symbol=TPC
RIDI,289.0,203.5,343.2,42.01,-15.79,https://nepsealpha.com/nepse-chart?symbol=RIDI
SBL,373.7,261.0,416.0,43.18,-10.17,https://nepsealpha.com/nepse-chart?symbol=SBL
RSML,432.0,300.0,432.0,44.0,0.0,https://nepsealpha.com/nepse-chart?symbol=RSML
PPL,380.1,263.2,607.9,44.41,-37.47,https://nepsealpha.com/nepse-chart?symbol=PPL
MFIL,794.0,545.0,873.0,45.69,-9.05,https://nepsealpha.com/nepse-chart?symbol=MFIL
SABBL,439.2,300.0,439.2,46.4,0.0,https://nepsealpha.com/nepse-chart?symbol=SABBL
UMHL,616.0,390.1,706.0,57.91,-12.75,https://nepsealpha.com/nepse-chart?symbol=UMHL
NGPL,416.4,254.8,465.0,63.42,-10.45,https://nepsealpha.com/nepse-chart?symbol=NGPL
UNHPL,480.0,290.0,554.7,65.52,-13.47,https://nepsealpha.com/nepse-chart?symbol=UNHPL
DHEL,680.0,402.2,918.9,69.07,-26.0,https://nepsealpha.com/nepse-chart?symbol=DHEL
TVCL,665.0,377.6,680.0,76.11,-2.21,https://nepsealpha.com/nepse-chart?symbol=TVCL
BPCL,699.0,380.7,1065.0,83.61,-34.37,https://nepsealpha.com/nepse-chart?symbol=BPCL
BHCL,564.9,292.1,699.0,93.39,-19.18,https://nepsealpha.com/nepse-chart?symbol=BHCL
AKJCL,343.0,172.9,396.0,98.38,-13.38,https://nepsealpha.com/nepse-chart?symbol=AKJCL
NABBC,1360.0,662.0,2060.0,105.44,-33.98,https://nepsealpha.com/nepse-chart?symbol=NABBC
BUNGAL,624.0,302.4,822.0,106.35,-24.09,https://nepsealpha.com/nepse-chart?symbol=BUNGAL
GMLI,1715.0,795.8,2778.0,115.51,-38.26,https://nepsealpha.com/nepse-chart?symbol=GMLI
SANVI,779.0,359.0,1060.0,116.99,-26.51,https://nepsealpha.com/nepse-chart?symbol=SANVI
RADHI,847.9,373.0,905.6,127.32,-6.37,https://nepsealpha.com/nepse-chart?symbol=RADHI
