Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
EBLD85,3/26/2026,1194.0,1225.0,1147.7,1173.0,-1.76,453.0,1250.0,1102.5
EBLD86,3/26/2026,1110.0,1110.0,1088.0,1088.0,-1.98,50.0,1150.0,1022.0
EBLD91,3/26/2026,1094.0,1105.0,1090.7,1105.0,1.01,81.0,1142.4,994.4
EDBL,3/26/2026,626.9,626.9,615.0,622.0,-0.78,13016.0,717.3,545.0
EHPL,3/26/2026,453.9,453.9,444.0,446.0,-1.74,44030.0,717.5,385.0
ENL,3/26/2026,954.6,969.0,941.1,969.0,1.51,1735.0,1289.8,866.0
FMDBL,3/26/2026,896.0,896.0,871.2,888.4,-0.85,48277.0,1038.8,718.0
FOWAD,3/26/2026,1152.0,1152.0,1117.0,1128.0,-2.08,3194.0,1324.4,1012.4
GBBD85,3/26/2026,1073.7,1095.1,1073.7,1095.1,1.99,50.0,1135.0,1020.1
GBBL,3/26/2026,426.0,429.0,420.0,428.0,0.47,67997.0,498.0,367.4
GBBLPO,3/26/2026,242.0,242.0,242.0,242.0,0.0,30369.0,242.0,193.4
GBILD84/85,3/26/2026,1210.0,1210.0,1210.0,1210.0,0.0,25.0,1238.0,1104.0
GBIME,3/26/2026,247.6,256.0,247.6,254.8,2.91,490207.0,278.9,213.0
GBIMESY2,3/26/2026,9.64,9.7,9.45,9.7,0.62,1900.0,10.18,8.5
GBLBS,3/26/2026,813.0,816.8,801.2,814.0,0.12,11182.0,950.0,698.0
GCIL,3/26/2026,470.9,470.9,457.8,467.0,-0.83,54112.0,579.0,400.0
GFCL,3/26/2026,687.0,690.0,676.0,690.0,0.44,16696.0,756.8,528.3
GHL,3/26/2026,274.0,274.3,267.6,273.5,-0.18,241466.0,295.0,197.1
GIBF1,3/26/2026,11.45,11.67,11.27,11.32,-1.14,208220.0,11.68,9.3
GILB,3/26/2026,1250.0,1250.0,1220.0,1220.3,-2.38,2080.0,1441.6,1100.0
GLBSL,3/26/2026,2003.9,2003.9,1960.0,1980.0,-1.19,1019.0,3232.0,1838.6
GLH,3/26/2026,300.0,309.0,300.0,308.7,2.9,150529.0,328.2,227.4
GMFBS,3/26/2026,1447.0,1474.8,1445.0,1453.0,0.41,1253.0,1871.0,1385.1
GMFIL,3/26/2026,520.0,521.0,512.0,516.5,-0.67,30383.0,557.0,393.1
GMLI,3/26/2026,1740.0,1774.8,1732.1,1774.8,2.0,2476.0,2778.0,1694.0
GRDBL,3/26/2026,1202.4,1202.4,1160.5,1174.0,-2.36,11732.0,1668.4,944.0
GSY,3/26/2026,9.95,10.1,9.95,10.01,0.6,45762.0,10.4,8.7
GUFL,3/26/2026,591.0,594.4,585.6,593.0,0.34,12011.0,644.0,460.6
GVL,3/26/2026,515.0,521.0,512.0,516.3,0.25,65384.0,662.0,424.0
GWFD83,3/26/2026,1125.0,1125.0,1125.0,1125.0,0.0,39.0,1464.8,1090.0
H8020,3/26/2026,12.16,12.16,11.92,12.0,-1.32,6600.0,12.21,10.0
HATHY,3/26/2026,940.0,955.0,935.0,955.0,1.6,11914.0,1469.8,875.5
HBL,3/26/2026,223.0,229.0,222.0,228.5,2.47,170739.0,261.0,184.0
HDHPC,3/26/2026,246.6,254.4,242.1,253.0,2.6,763484.0,274.0,162.0
HDL,3/26/2026,1235.0,1239.9,1215.2,1226.0,-0.73,64395.0,1556.1,1103.0
HEI,3/26/2026,557.09,568.0,557.09,568.0,1.96,19539.0,654.0,458.0
HEIP,3/26/2026,333.1,333.1,323.6,324.0,-2.73,1243.0,403.5,293.1
HFIN,3/26/2026,237.3,262.9,237.3,262.9,10.79,208.0,262.9,101.7
HHL,3/26/2026,374.0,380.0,372.1,379.8,1.55,43342.0,545.0,310.7
HIDCL,3/26/2026,307.0,307.0,296.2,298.0,-2.93,351659.0,340.0,245.0
HIDCLP,3/26/2026,227.0,228.6,222.7,225.0,-0.88,913073.0,239.0,172.4
HIMSTAR,3/26/2026,980.0,1032.0,975.0,1025.0,4.59,39897.0,1264.0,252.2
HLBSL,3/26/2026,947.6,979.2,947.6,968.0,2.15,3394.0,1100.0,837.0
HLI,3/26/2026,390.0,394.0,388.1,393.5,0.9,118315.0,464.0,354.8
HLICF,3/26/2026,9.6,9.6,9.6,9.6,0.0,3000.0,10.55,8.74
HPPL,3/26/2026,420.0,420.0,408.3,410.9,-2.17,174045.0,711.0,388.9
HRL,3/26/2026,858.7,888.4,858.7,882.0,2.71,151387.0,1139.9,762.1
HURJA,3/26/2026,294.0,294.7,289.0,294.0,0.0,158119.0,312.1,204.6
