Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
GSY,Garima Samriddhi Yojana,Mutual Fund,10.01,1.25 Ar,+0.30%,+1.11%,+5.26%,+10.00%,+11.10%,+11.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUFL,Gurkhas Finance Ltd.,Finance,593.00,5.15 Ar,+0.32%,+0.17%,+9.01%,+20.04%,+2.35%,+30.04%,14.21,41.74,3.99,314416.2,196118.65,+60.32%,104153.04,80071.07,+30.08%,61657.32,-42415.13,-245.37%,14.21,-19.55,-172.68%,148.65,134.18,+10.79%,10791318.74,10520874.62,+2.57%,9501046.46,9356238.88,+1.55%,867993.8,867993.8,0.00%,422278.48,296641.94,+42.35%,0.0956,7.3636
GVL,Green Ventures Limited,Hydro Power,516.29,17.75 Ar,+0.06%,+0.94%,+6.56%,-0.42%,+11.70%,+90.63%,27.16,19.01,4.13,1012666.53,576092.88,+75.78%,683281.28,419226.46,+62.99%,466745.66,302893.57,+54.10%,27.16,35.25,-22.95%,124.97,120.81,+3.44%,10789634.27,10672079.76,+1.10%,6493847.27,6519215.55,-0.39%,3437500.0,3437500.0,0.00%,858287.01,715364.21,+19.98%,0.2173,1.5117
GWFD83,12 % Goodwill Finance Limited Debenture 2083,Bond,"1,125.00",0.00,-1.32%,-1.32%,+0.45%,-8.16%,-4.99%,-2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8020,Himalayan 80-20,Mutual Fund,12.00,0.00,0.00%,+2.74%,+4.17%,+10.29%,+33.13%,+44.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATHY,Hathway Investment Nepal Limited,Organized Fund,955.00,27.04 Ar,+1.53%,+0.42%,+5.64%,+5.76%,-14.60%,+312.88%,1.23,778.8,14.17,98832.09,8814.26,"+1,021.27%",29791.84,14366.45,+107.37%,19443.04,4423.41,+339.55%,1.23,0.56,+119.77%,67.38,66.64,+1.11%,2724757.35,2722883.72,+0.07%,587931.77,609557.16,-3.55%,1585584.0,1585584.0,0.00%,551241.58,527742.56,+4.45%,0.0183,0.2751
HBL,Himalayan Bank,Commercial Banks,228.50,49.49 Ar,+1.06%,+1.20%,+21.22%,+19.07%,-1.86%,-37.05%,11.45,19.96,1.31,11811788.28,6224375.62,+89.77%,4702327.9,2507111.35,+87.56%,1292681.91,702894.98,+83.91%,11.45,12.45,-8.05%,174.23,177.63,-1.91%,400243766.1,384674582.0,+4.05%,360899137.0,344563047.3,+4.74%,22581662.53,22581662.53,0.00%,16762966.58,17529873.22,-4.37%,0.0657,9.1728
HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power,253.00,7.08 Ar,+2.60%,-0.16%,+30.48%,+40.48%,+28.35%,+110.83%,-4.32,-58.55,3.36,69604.77,69604.77,0.00%,20528.14,52108.38,-60.60%,-60494.17,16286.32,-471.44%,-4.32,2.33,-285.72%,75.21,77.95,-3.52%,2303687.88,2384457.21,-3.39%,197932.56,201921.41,-1.98%,2800000.0,2800000.0,0.00%,-694244.68,-617464.2,+12.43%,-0.0574,0.094
HDL,Himalayan Distillery,Manufacturing And Processing,"1,226.00",37.68 Ar,-0.73%,+2.59%,+7.44%,+5.15%,+23.14%,+29.26%,24.31,50.42,10.14,1787833.33,609777.61,+193.19%,1228350.89,388963.82,+215.80%,448367.37,90258.17,+396.76%,24.31,11.75,+106.98%,120.87,138.4,-12.66%,5168267.36,4950110.17,+4.41%,710332.22,696614.14,+1.97%,3688082.18,3073401.81,+20.00%,769852.97,1180094.22,-34.76%,0.2011,0.1593
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,568.00,14.20 Ar,+0.89%,+2.34%,+10.94%,+13.13%,-3.84%,+43.48%,1.26,450.68,1.63,1370378.33,793246.48,+72.76%,395647.51,83034.53,+376.49%,15755.11,-109337.4,-114.41%,1.26,-17.49,-107.20%,209.67,205.96,+1.80%,12337298.01,12108227.93,+1.89%,7095305.02,6958785.95,+1.96%,2500157.4,2500157.4,0.00%,308489.22,224221.7,+37.58%,0.006,1.3536
HEIP,Himalayan Everest Insurance Limited Promoter,Non Life Insurance,324.00,86.67 Cr,-0.80%,+0.31%,+6.26%,-3.15%,-11.17%,+45.38%,1.26,450.69,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFIN,Hotel Forest Inn Limited,Hotels,262.89,0.00,+10.00%,+60.89%,+135.15%,+135.15%,+135.15%,+135.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHL,Himalayan Hydropower Limited,Hydro Power,379.80,4.16 Ar,+0.98%,-2.37%,+13.07%,+16.57%,-23.54%,+51.44%,10.78,35.22,4.56,187144.76,106577.21,+75.60%,166236.69,91236.42,+82.20%,59045.72,36333.76,+62.51%,10.78,13.27,-18.75%,83.35,81.28,+2.55%,2259174.99,2278284.63,-0.84%,1346492.66,1388314.27,-3.01%,1095000.0,1095000.0,0.00%,-182317.68,-205029.64,-11.08%,0.1293,1.4753
